model,R2_oos_%,dir_hit_%,cum_sign_%,IC,IC_p,T3-T1_%,pred_cum_mean_%,pred_cum_std_%
baseline:zero (random walk),0.0,1.8565400843881856,0.0,,,2.0363375544548035,0.0,0.0
baseline:context-mean (momentum),-10.615050792694092,48.860759493670884,47.46835443037975,-0.032908958423023035,0.6814496045329885,0.6469056010246277,8.813552558422089,36.17090880870819
baseline:-context-mean (reversal),-11.807060241699219,49.28270042194093,52.53164556962025,0.032908958423023035,0.6814496045329885,-0.646904855966568,-1.8045345321297646,22.38451838493347
TimesFM_20M_Global,-46.21058702468872,48.69198312236287,46.20253164556962,-0.07738693773113321,0.3338115004032734,-3.273255005478859,22.08346128463745,73.89147281646729
TimesFM_20M_US,-57.50315189361572,49.83122362869199,47.46835443037975,-0.0418964371066647,0.6011983397522087,-1.4857737347483635,7.5347766280174255,35.167402029037476
TimesFM_20M_Augmented,-3295176.953125,49.43037974683545,46.835443037974684,0.070045439402214,0.38182360534820103,2.17074416577816,-2.866361701596341e+30,inf
TimesFM_8M_Global,-20.858263969421387,48.81856540084388,46.835443037974684,-0.09854432661604998,0.21800582839426755,-0.9291995316743851,16.181136667728424,51.96294188499451
Chronos_Small_Global (median),-9.938764572143555,50.9915611814346,44.303797468354425,0.11570094552671334,0.14771304526960505,5.4839834570884705,-2.660605311393738,9.147459268569946
Chronos_Small_Global (sample mean),-3.961300849914551,51.413502109704645,44.936708860759495,0.09120282828713076,0.25442134756617596,3.8778871297836304,-2.8974538668990135,8.832111209630966
Chronos_Small_US (median),-0.36259889602661133,50.56962025316456,41.77215189873418,0.032168971542940204,0.6882354490110132,2.706100419163704,-2.7453631162643433,3.30401174724102
Chronos_Small_US (sample mean),-0.6337642669677734,51.62447257383966,43.67088607594937,-0.008514373424567094,0.9154426100545151,0.8699372410774231,-3.791625425219536,4.244818538427353
Chronos_Small_Augmented (median),-11.851608753204346,51.85654008438818,48.734177215189874,0.12962485462654647,0.10453006485208398,4.9446702003479,-2.860031835734844,10.404074937105179
Chronos_Small_Augmented (sample mean),-11.230301856994629,51.32911392405063,49.36708860759494,0.1274235235236758,0.11060457412376781,4.630887880921364,-3.5190366208553314,10.932721197605133
Chronos_Mini_Global (median),-8.749759197235107,50.73839662447257,43.037974683544306,0.05475398888127317,0.4944205270354609,3.5345565527677536,-2.5831563398241997,7.982267439365387
Chronos_Mini_Global (sample mean),-3.0937552452087402,51.286919831223635,43.67088607594937,0.02613640339601344,0.7444420896691676,0.7103011012077332,-1.1922912672162056,14.76527750492096
