ipo_year,ckpt_year,model,n,R2_oos_%,dir_hit_%,cum_sign_%,IC,T3-T1_%,blowup_%
2024,-,baseline:zero,66,0.0,,,,,0.0
2024,-,baseline:momentum,66,-7.328091369537781,47.474747474747474,43.93939393939394,0.027283164596597433,-0.48150042040087154,0.0
2024,-,baseline:reversal,66,-9.015529326233285,50.303030303030305,56.060606060606055,-0.027283164596597433,0.48150042040087154,0.0
2024,2023,TimesFM_20M_Global,66,-41.710065865760185,47.62626262626263,45.45454545454545,-0.006575514038200607,0.20556858382267465,0.0
2024,2023,TimesFM_20M_US,66,-55.997928829145,48.18181818181818,43.93939393939394,0.012629161882893229,-1.7498560102196838,0.0
2024,2023,TimesFM_20M_Augmented,66,-157527.0832380403,48.73737373737374,,,,95.25252525252526
2024,2023,Chronos_Small_Global,66,0.18504457503273342,50.783223850429515,40.909090909090914,0.12322304561110532,3.866294995571941,0.0
2024,2023,Chronos_Small_US,66,-0.19975392976652184,50.45454545454545,39.39393939393939,0.04456737292558189,3.6104662870843267,0.0
2024,2023,Chronos_Small_Augmented,66,-7.021681248480727,50.682162708438604,50.0,0.2320634589291306,6.414589307906859,0.0
2025,-,baseline:zero,76,0.0,,,,,0.0
2025,-,baseline:momentum,76,-9.836663059908467,49.473684210526315,52.63157894736842,0.03171565276828434,2.364895560667181,0.0
2025,-,baseline:reversal,76,-12.878643132667133,48.81578947368421,47.368421052631575,-0.03171565276828434,-2.364895560667181,0.0
2025,2023,TimesFM_20M_Global,76,-48.569850561613556,49.166666666666664,51.31578947368421,0.015447710184552292,-0.172064083350449,0.0
2025,2023,TimesFM_20M_US,76,-59.21194833409498,51.359649122807014,53.94736842105263,0.018810663021189337,-0.17058148537229603,0.0
2025,2023,TimesFM_20M_Augmented,76,-132259.89439856863,50.43859649122807,,,,95.87719298245614
2025,2023,Chronos_Small_Global,76,-3.153752720620062,52.698551996489684,53.94736842105263,0.18939166097060833,7.138535471821748,0.0
2025,2023,Chronos_Small_US,76,-0.6215813512219226,52.523036419482224,57.89473684210527,0.11666438824333561,6.179153268540906,0.0
2025,2023,Chronos_Small_Augmented,76,-0.16829540258562758,51.53508771929825,55.26315789473685,0.06195488721804512,4.786615971515046,0.0
2026,-,baseline:zero,16,0.0,,,,,0.0
2026,-,baseline:momentum,16,-20.595750251845256,51.66666666666667,37.5,-0.5,-6.564996881896941,0.0
2026,-,baseline:reversal,16,-14.803564764855626,47.291666666666664,62.5,0.5,6.564996881896941,0.0
2026,2023,TimesFM_20M_Global,16,-49.04393276005361,50.625,25.0,-0.7794117647058825,-18.986191211999188,0.0
2026,2023,TimesFM_20M_US,16,-55.54200737797472,49.375,31.25,-0.4970588235294117,-1.9992298519257587,0.0
2026,2023,TimesFM_20M_Augmented,16,-88756.34939197917,47.5,,,,96.04166666666667
2026,2023,Chronos_Small_Global,16,-58.1969236147788,46.875,18.75,-0.5294117647058824,-10.328477459119007,0.0
2026,2023,Chronos_Small_US,16,-1.1922406939330443,49.791666666666664,12.5,-0.6794117647058824,-12.419686221771737,0.0
2026,2023,Chronos_Small_Augmented,16,-60.10897629761347,50.0,12.5,-0.3,-0.5591247845885404,0.0
