window,year,ckpt,model,n_members,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,pred_std,LS_std_%,LS_bps_day,LS_maxdd_%,LS_maxdd1d_%,LS_skew,LS_kurt,long_ann_%,long_sharpe,short_ann_%,short_sharpe
512,2017,-,zero,421,103229,251,0.0,,,,,,,0.0,,,,,,,,,,
512,2017,2016,TimesFM_20M_US,421,103229,251,-6.727629595620321,50.824865105735796,50.812771075554906,51.93737851770472,51.027388549851935,3.608536057223325,0.3331735527624909,0.0037368601343264712,10.83079982580652,1.4319587528663988,11.46955596723619,-3.0782116774367396,-0.10943346976090981,2.4947759133019454,17.07128420671121,1.7040066756850731,-13.462748149487885,-1.2685795896071372
512,2017,2016,Chronos_Small_US,421,103229,251,-0.12243100238749083,51.229790078369454,68.37664467689616,32.45795656215668,49.12248692542971,0.1222051782496584,0.015731825275276317,0.000881580395283168,7.768022852485691,0.048494118353039045,9.23391497905608,-2.1513002168631363,-0.6154608323658496,2.087040497358965,18.143451906739667,1.9401197538316475,-18.021246728490006,-1.8582740686438282
512,2018,-,zero,429,105576,251,0.0,,,,,,,0.0,,,,,,,,,,
512,2018,2017,TimesFM_20M_US,429,105576,251,-6.66082340597054,49.88539061908009,56.3423679403679,43.07374895381202,49.56559049504343,9.211882143305262,0.7272259882722041,0.004428006524585776,12.667152015828695,3.6555087870258975,11.752424252427296,-2.3981220889254478,-0.36709492344482386,0.46769630143578844,-6.707862578471208,-0.3597953901479176,15.91974472177647,0.9324030249546343
512,2018,2017,Chronos_Small_US,429,105576,251,-0.5880823402282687,50.995491399560514,71.82604845107844,29.020768047959205,48.32385960440132,8.112578790370836,0.765250106361944,0.0011656627410284693,10.601212234962816,3.219277297766205,6.213368198556834,-2.9106056130764215,-0.3722243502415148,2.702074122198964,-6.610790507632043,-0.33337605603088555,14.72336929800287,0.9202096573858306
512,2019,-,zero,433,108468,252,0.0,,,,,,,0.0,,,,,,,,,,
512,2019,2018,TimesFM_20M_US,433,108468,252,-0.7010189119437404,52.08909540140871,72.36636606378156,27.407452832117084,48.21041484393342,-3.6783102880654073,-0.3575614357117003,0.0016936993979840768,10.287211988462893,-1.4596469397084948,16.74162224613407,-2.4941611845015146,0.04810397577170316,1.5888174589722164,29.389764771737877,1.7882919223095466,-33.06807505980329,-2.0529365981551515
512,2019,2018,Chronos_Small_US,433,108468,252,-0.1284585083112022,52.149942840284695,69.11179404504006,31.50385315099855,49.29814516557842,10.652014704200301,0.9354123955012424,0.0013946522579487586,11.38750646819513,4.226989961984246,8.166937270286656,-3.392912962539582,-0.6813135231241493,4.568482950686806,31.88431762187436,2.139091604695474,-21.23230291767405,-1.3106088281823463
512,2020,-,zero,443,111067,253,0.0,,,,,,,0.0,,,,,,,,,,
