window,year,ckpt,model,n_members,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,pred_std,LS_std_%,LS_bps_day,LS_maxdd_%,LS_maxdd1d_%,LS_skew,LS_kurt,IC_mean,IC_t,IC_pos_%,long_ann_%,long_sharpe,short_ann_%,short_sharpe
512,2017,-,zero,421,103229,251,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2017,2016,TimesFM_20M_Synthetic,421,103229,251,-4.1815639542687855,48.58130951573686,26.877938550133035,74.79295191413843,46.6638292590577,-5.9956251908172185,-0.49713246806822026,0.002499359169630359,12.060417647061536,-2.3792163455623885,20.654918015012548,-4.23982974543611,-0.47064821229229015,3.9560297388604977,0.01084372556923683,1.1344253765062025,57.37051792828686,15.2066120225914,1.5248945071736602,-21.20223721340862,-1.8477073260828667
512,2018,-,zero,429,105576,251,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2018,2017,TimesFM_20M_Synthetic,429,105576,251,-65.32861534909624,51.32795332272486,99.91143748039632,0.07590945364657337,33.98628160448394,-18.96507003906786,-1.3787036731224012,0.008315380676102992,13.75572605541622,-7.525821444074548,22.87744528223924,-4.299835839828163,-0.23921659150381647,2.4360607966573125,-0.01792321232219624,-1.7861048905903287,45.41832669322709,-15.39066743839063,-0.7439720313924372,-3.5744026006772387,-0.2578188734048422
512,2019,-,zero,433,108468,252,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2019,2018,TimesFM_20M_Synthetic,433,108468,252,-8.19170504280422,54.347826086956516,93.45894839370581,6.741481163508515,40.48203942756261,12.83208122558156,0.9566584830015716,0.004005284841314507,13.41344006621899,5.092095724437127,9.144949235435273,-2.2378821589247604,0.5840097511160636,1.9948990522259855,0.009011815560865586,0.837808461388766,50.39682539682539,31.713715455860143,1.6968240232109033,-18.881634230278582,-1.5256786249083203
512,2020,-,zero,443,111067,253,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2020,2019,TimesFM_20M_Synthetic,443,111067,253,-4.0817846024646,51.40230671576616,80.631700247931,20.42994644395341,46.02866834185527,17.5784139381886,0.5026835026991341,0.007464688193656242,34.969148268845466,6.975561086582778,40.11607194620018,-12.713637454218643,-0.7455677145536982,10.014466189874003,0.020564380669311065,1.5197760011965509,53.75494071146245,20.79452607687467,0.39177394259155535,-3.216112138686074,-0.08836596768701337
512,2021,-,zero,453,113125,252,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2021,2020,TimesFM_20M_Synthetic,453,113125,252,-2.9555032390986558,51.18762430939226,69.6387227876143,30.655113311750142,48.65202641629476,2.341302995858299,0.1379553555054738,0.003530949981705947,16.971454187332373,0.92908849041996,17.100300483264153,-3.2817179268353023,0.6022046316827324,3.7851592488666572,0.012253936880612444,1.1670772087333896,53.57142857142857,37.557250786704806,1.9519866352970796,-35.21594779084651,-2.1693835270704422
512,2022,-,zero,459,114838,251,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2022,2021,TimesFM_20M_Synthetic,459,114838,251,-153.96005432493095,49.137916020829344,100.0,0.005158627805003869,32.952531085208214,-24.094258193912452,-0.9397161268860968,0.015086615891091174,25.639932639820415,-9.561213569012878,24.506873504905112,-6.113909520726237,-0.38709593686136234,1.1511784315044022,-0.010663438446806377,-0.7164713287234278,50.59760956175299,-23.022841376959665,-0.667002573961961,-1.0714168169527902,-0.05948097009868846
512,2023,-,zero,472,117179,249,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2023,2022,TimesFM_20M_Synthetic,472,117179,249,-9.561154017109153,51.386340555901654,98.0246586238897,1.868566904196358,35.546554250362014,12.151010357256284,0.94071258035635,0.003518705554327656,12.916814987903509,4.821829506847732,11.33792005300962,-3.360261885864794,-0.33064989829142266,1.8321964352391555,0.02087829785535713,2.2108120297416174,57.42971887550201,19.559615585304023,1.0089023042452685,-7.4086052280477395,-0.48719450828592503
