window,year,ckpt,model,n_obs,n_days,R2_OOS_%,acc_%,acc_up_%,acc_dn_%,macroF1_%,LS_ann_%,LS_sharpe,pred_std,LS_std_%,LS_bps_day,LS_maxdd_%,LS_maxdd1d_%,LS_skew,LS_kurt,IC_mean,IC_t,IC_pos_%,long_ann_%,long_sharpe,short_ann_%,short_sharpe
512,2017,-,zero,10615,246,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2017,2016,Chronos_Small_US,10615,246,-2.11065274797011,51.125765426283564,51.9632949210414,50.46382189239333,51.007648500229664,13.545057299174575,1.4302881826363405,0.0019829591235906415,9.470159554984235,5.375022737767688,6.083173937881314,-2.3666720208558796,-0.2531979484290121,0.8638978650497018,0.037402258819672025,3.6479159135051322,56.91056910569105,15.526026568977608,1.4842620550561136,-1.9809692698030301,-0.18047671183968556
512,2018,-,zero,10097,247,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2018,2017,Chronos_Small_US,10097,247,-0.9048105034270781,50.757650787362586,56.081832332666224,46.482142857142854,50.76202346880427,44.81944935034733,3.963065766897056,0.0021640605717364956,11.309287300937077,17.785495773947353,6.884318884278528,-1.9930819248234102,-0.1399283767203149,-0.04912793557722184,0.05576018647088573,4.877674834041391,64.37246963562752,16.104313562777406,1.0628085706087995,28.715135787569913,1.6524527969898586
512,2019,-,zero,10276,242,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2019,2018,Chronos_Small_US,10276,242,-1.7060990780082497,50.54495912806539,54.6932894195142,46.82539682539682,50.540672767927596,19.901575969598483,2.090052451026664,0.001934692617138855,9.522046185885213,7.897450781586699,5.953141306707699,-2.0853358029627413,0.13364900260163018,0.8042725574250595,0.02486860071694362,2.406845453345805,57.85123966942148,32.59544746369589,2.8971881804005877,-12.693871494097406,-1.0747579347711935
512,2020,-,zero,11035,245,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2020,2019,Chronos_Small_US,11035,245,-3.5039987909859738,49.76891708201178,53.3229994187173,46.64623765747361,49.786905039362985,12.124708399418997,1.0447703935165473,0.0036597789961876973,11.605141641321755,4.811392221991666,9.043061126636875,-3.4248070180950387,0.623156843295761,5.623120202514478,0.012450085580188796,1.2154200454319277,54.285714285714285,11.210662228907767,0.46648653462710465,0.9140461705112383,0.04199787620747691
512,2021,-,zero,11392,244,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2021,2020,Chronos_Small_US,11392,244,-1.312695350912696,49.736657303370784,53.567508232711305,46.20317246034424,49.73140266469282,-8.21094292982634,-0.6546657274455634,0.002152018582360517,12.542191511788122,-3.2583106864390237,13.058651824752642,-2.438914993616211,-0.05196838584917555,1.183312693240266,0.011329057271782447,1.0977715271941209,55.32786885245902,20.748639451361836,1.2161253669647607,-28.959582381188177,-1.5448766902579578
512,2022,-,zero,11389,246,0.0,,,,,,,0.0,,,,,,,,,,,,,
512,2022,2021,Chronos_Small_US,11389,246,-1.6223895050353931,49.19659320396874,47.851711026615966,50.35079131995431,49.08025361352604,5.571366950867009,0.37185918033254023,0.002584878247934993,14.982464453034982,2.210859901137702,11.16609450524586,-2.835809787250069,-0.03913905888580485,0.320754835288545,-0.010772533825875088,-1.0384187782002983,50.40650406504065,-9.296062180023608,-0.43920142972213005,14.867429130890624,0.6540836522324621
512,2023,-,zero,10994,239,0.0,,,,,,,0.0,,,,,,,,,,,,,
